name|Serve Max Speed|1st Serve Average Speed|2nd Serve Average Speed|Serve Average Speed|1st / 2nd Srv. Spd. Ratio|Srv. Max / Avg. Spd. Ratio
Carlos Alcaraz Garfia|223|186|156|178|1.19|1.25
Rafael Nadal|230|186|159|179|1.17|1.28
Casper Ruud|219|191|158|182|1.21|1.20
Stefanos Tsitsipas|222|197|157|186|1.25|1.19
Novak Djokovic|210|188|146|177|1.29|1.19
Felix Auger Aliassime|222|200|166|191|1.20|1.16
Daniil Medvedev|216|194|152|182|1.28|1.19
Andrey Rublev|222|188|141|174|1.33|1.28
Taylor Harry Fritz|227|196|155|184|1.26|1.23
Hubert Hurkacz|233|200|158|188|1.27|1.24
Holger Vitus Nodskov Rune|218|191|161|183|1.19|1.19
Alexander Zverev|236|203|155|190|1.31|1.24
Pablo Carreno Busta|210|179|144|169|1.24|1.24
Cameron Norrie|205|176|140|166|1.26|1.23
Jannik Sinner|221|191|152|179|1.26|1.23
Matteo Berrettini|229|204|168|194|1.21|1.18
Marin Cilic|222|193|152|180|1.27|1.23
Denis Shapovalov|222|201|159|188|1.26|1.18
Frances Tiafoe|228|195|150|182|1.30|1.25
Karen Khachanov|213|189|159|180|1.19|1.18
Andy Murray|213|191|148|178|1.29|1.20
